,param_classifier,param_classifier__C,param_classifier__gamma,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss
0,"SVC(C=10.0, gamma=0.01)",0.0001,0.0001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.0001, 'classifier__gamma': 0.0001}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
1,"SVC(C=10.0, gamma=0.01)",0.0001,0.001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.0001, 'classifier__gamma': 0.001}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
2,"SVC(C=10.0, gamma=0.01)",0.0001,0.01,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.0001, 'classifier__gamma': 0.01}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
3,"SVC(C=10.0, gamma=0.01)",0.0001,0.1,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.0001, 'classifier__gamma': 0.1}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
4,"SVC(C=10.0, gamma=0.01)",0.0001,1.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.0001, 'classifier__gamma': 1.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
5,"SVC(C=10.0, gamma=0.01)",0.0001,10.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.0001, 'classifier__gamma': 10.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
6,"SVC(C=10.0, gamma=0.01)",0.0001,100.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.0001, 'classifier__gamma': 100.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
7,"SVC(C=10.0, gamma=0.01)",0.0001,1000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.0001, 'classifier__gamma': 1000.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
8,"SVC(C=10.0, gamma=0.01)",0.0001,10000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.0001, 'classifier__gamma': 10000.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
9,"SVC(C=10.0, gamma=0.01)",0.001,0.0001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.001, 'classifier__gamma': 0.0001}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
10,"SVC(C=10.0, gamma=0.01)",0.001,0.001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.001, 'classifier__gamma': 0.001}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
11,"SVC(C=10.0, gamma=0.01)",0.001,0.01,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.001, 'classifier__gamma': 0.01}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
12,"SVC(C=10.0, gamma=0.01)",0.001,0.1,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.001, 'classifier__gamma': 0.1}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
13,"SVC(C=10.0, gamma=0.01)",0.001,1.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.001, 'classifier__gamma': 1.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
14,"SVC(C=10.0, gamma=0.01)",0.001,10.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.001, 'classifier__gamma': 10.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
15,"SVC(C=10.0, gamma=0.01)",0.001,100.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.001, 'classifier__gamma': 100.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
16,"SVC(C=10.0, gamma=0.01)",0.001,1000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.001, 'classifier__gamma': 1000.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
17,"SVC(C=10.0, gamma=0.01)",0.001,10000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.001, 'classifier__gamma': 10000.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
18,"SVC(C=10.0, gamma=0.01)",0.01,0.0001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.01, 'classifier__gamma': 0.0001}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
19,"SVC(C=10.0, gamma=0.01)",0.01,0.001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.01, 'classifier__gamma': 0.001}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
20,"SVC(C=10.0, gamma=0.01)",0.01,0.01,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.01, 'classifier__gamma': 0.01}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
21,"SVC(C=10.0, gamma=0.01)",0.01,0.1,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.01, 'classifier__gamma': 0.1}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
22,"SVC(C=10.0, gamma=0.01)",0.01,1.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.01, 'classifier__gamma': 1.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
23,"SVC(C=10.0, gamma=0.01)",0.01,10.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.01, 'classifier__gamma': 10.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
24,"SVC(C=10.0, gamma=0.01)",0.01,100.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.01, 'classifier__gamma': 100.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
25,"SVC(C=10.0, gamma=0.01)",0.01,1000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.01, 'classifier__gamma': 1000.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
26,"SVC(C=10.0, gamma=0.01)",0.01,10000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.01, 'classifier__gamma': 10000.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
27,"SVC(C=10.0, gamma=0.01)",0.1,0.0001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.1, 'classifier__gamma': 0.0001}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
28,"SVC(C=10.0, gamma=0.01)",0.1,0.001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.1, 'classifier__gamma': 0.001}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
29,"SVC(C=10.0, gamma=0.01)",0.1,0.01,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.1, 'classifier__gamma': 0.01}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
30,"SVC(C=10.0, gamma=0.01)",0.1,0.1,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.1, 'classifier__gamma': 0.1}",0.1037,16,0.1362,0.6002,16,0.6206,-0.318,15,-0.3017
31,"SVC(C=10.0, gamma=0.01)",0.1,1.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.1, 'classifier__gamma': 1.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
32,"SVC(C=10.0, gamma=0.01)",0.1,10.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.1, 'classifier__gamma': 10.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
33,"SVC(C=10.0, gamma=0.01)",0.1,100.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.1, 'classifier__gamma': 100.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
34,"SVC(C=10.0, gamma=0.01)",0.1,1000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.1, 'classifier__gamma': 1000.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
35,"SVC(C=10.0, gamma=0.01)",0.1,10000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 0.1, 'classifier__gamma': 10000.0}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
36,"SVC(C=10.0, gamma=0.01)",1.0,0.0001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1.0, 'classifier__gamma': 0.0001}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
37,"SVC(C=10.0, gamma=0.01)",1.0,0.001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1.0, 'classifier__gamma': 0.001}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
38,"SVC(C=10.0, gamma=0.01)",1.0,0.01,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1.0, 'classifier__gamma': 0.01}",0.1278,8,0.1517,0.633,7,0.659,-0.3019,8,-0.2812
39,"SVC(C=10.0, gamma=0.01)",1.0,0.1,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1.0, 'classifier__gamma': 0.1}",0.142,2,0.4848,0.6619,4,0.8531,-0.2908,1,-0.1268
40,"SVC(C=10.0, gamma=0.01)",1.0,1.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1.0, 'classifier__gamma': 1.0}",0.1061,15,0.9976,0.5993,17,0.9995,-0.3172,14,-0.0004
41,"SVC(C=10.0, gamma=0.01)",1.0,10.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1.0, 'classifier__gamma': 10.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
42,"SVC(C=10.0, gamma=0.01)",1.0,100.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1.0, 'classifier__gamma': 100.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
43,"SVC(C=10.0, gamma=0.01)",1.0,1000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1.0, 'classifier__gamma': 1000.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
44,"SVC(C=10.0, gamma=0.01)",1.0,10000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1.0, 'classifier__gamma': 10000.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
45,"SVC(C=10.0, gamma=0.01)",10.0,0.0001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10.0, 'classifier__gamma': 0.0001}",0.1037,16,0.1322,0.5971,22,0.6136,-0.3196,16,-0.3063
46,"SVC(C=10.0, gamma=0.01)",10.0,0.001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10.0, 'classifier__gamma': 0.001}",0.1278,9,0.1563,0.6316,9,0.6624,-0.3027,9,-0.2774
47,"SVC(C=10.0, gamma=0.01)",10.0,0.01,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10.0, 'classifier__gamma': 0.01}",0.1395,3,0.2821,0.6646,1,0.7563,-0.2928,2,-0.2124
48,"SVC(C=10.0, gamma=0.01)",10.0,0.1,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10.0, 'classifier__gamma': 0.1}",0.0913,80,0.9941,0.6089,15,0.9989,-0.3381,79,-0.001
49,"SVC(C=10.0, gamma=0.01)",10.0,1.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10.0, 'classifier__gamma': 1.0}",0.1085,10,0.9976,0.5989,18,0.9995,-0.3172,10,-0.0004
50,"SVC(C=10.0, gamma=0.01)",10.0,10.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10.0, 'classifier__gamma': 10.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
51,"SVC(C=10.0, gamma=0.01)",10.0,100.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10.0, 'classifier__gamma': 100.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
52,"SVC(C=10.0, gamma=0.01)",10.0,1000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10.0, 'classifier__gamma': 1000.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
53,"SVC(C=10.0, gamma=0.01)",10.0,10000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10.0, 'classifier__gamma': 10000.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
54,"SVC(C=10.0, gamma=0.01)",100.0,0.0001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 100.0, 'classifier__gamma': 0.0001}",0.1301,7,0.1571,0.6325,8,0.6627,-0.3016,7,-0.277
55,"SVC(C=10.0, gamma=0.01)",100.0,0.001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 100.0, 'classifier__gamma': 0.001}",0.1372,4,0.2431,0.6629,2,0.7333,-0.2948,3,-0.2329
56,"SVC(C=10.0, gamma=0.01)",100.0,0.01,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 100.0, 'classifier__gamma': 0.01}",0.1082,14,0.7545,0.6224,10,0.9393,-0.3244,74,-0.0519
57,"SVC(C=10.0, gamma=0.01)",100.0,0.1,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 100.0, 'classifier__gamma': 0.1}",0.0937,76,0.9976,0.6113,12,0.9995,-0.3341,76,-0.0004
58,"SVC(C=10.0, gamma=0.01)",100.0,1.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 100.0, 'classifier__gamma': 1.0}",0.1085,10,0.9976,0.5989,18,0.9995,-0.3172,10,-0.0004
59,"SVC(C=10.0, gamma=0.01)",100.0,10.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 100.0, 'classifier__gamma': 10.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
60,"SVC(C=10.0, gamma=0.01)",100.0,100.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 100.0, 'classifier__gamma': 100.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
61,"SVC(C=10.0, gamma=0.01)",100.0,1000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 100.0, 'classifier__gamma': 1000.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
62,"SVC(C=10.0, gamma=0.01)",100.0,10000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 100.0, 'classifier__gamma': 10000.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
63,"SVC(C=10.0, gamma=0.01)",1000.0,0.0001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1000.0, 'classifier__gamma': 0.0001}",0.1372,4,0.2358,0.6626,3,0.7301,-0.2952,4,-0.2358
64,"SVC(C=10.0, gamma=0.01)",1000.0,0.001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1000.0, 'classifier__gamma': 0.001}",0.1467,1,0.304,0.6598,6,0.7732,-0.2972,5,-0.1976
65,"SVC(C=10.0, gamma=0.01)",1000.0,0.01,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1000.0, 'classifier__gamma': 0.01}",0.0794,81,0.9957,0.5828,81,0.9992,-0.3616,81,-0.0007
66,"SVC(C=10.0, gamma=0.01)",1000.0,0.1,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1000.0, 'classifier__gamma': 0.1}",0.0937,76,0.9976,0.6113,12,0.9995,-0.3341,76,-0.0004
67,"SVC(C=10.0, gamma=0.01)",1000.0,1.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1000.0, 'classifier__gamma': 1.0}",0.1085,10,0.9976,0.5989,18,0.9995,-0.3172,10,-0.0004
68,"SVC(C=10.0, gamma=0.01)",1000.0,10.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1000.0, 'classifier__gamma': 10.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
69,"SVC(C=10.0, gamma=0.01)",1000.0,100.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1000.0, 'classifier__gamma': 100.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
70,"SVC(C=10.0, gamma=0.01)",1000.0,1000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1000.0, 'classifier__gamma': 1000.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
71,"SVC(C=10.0, gamma=0.01)",1000.0,10000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 1000.0, 'classifier__gamma': 10000.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
72,"SVC(C=10.0, gamma=0.01)",10000.0,0.0001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10000.0, 'classifier__gamma': 0.0001}",0.1322,6,0.2545,0.6598,5,0.7458,-0.2977,6,-0.2208
73,"SVC(C=10.0, gamma=0.01)",10000.0,0.001,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10000.0, 'classifier__gamma': 0.001}",0.1034,75,0.7644,0.6143,11,0.9425,-0.3328,75,-0.0491
74,"SVC(C=10.0, gamma=0.01)",10000.0,0.01,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10000.0, 'classifier__gamma': 0.01}",0.0915,79,0.9976,0.5886,80,0.9995,-0.3565,80,-0.0004
75,"SVC(C=10.0, gamma=0.01)",10000.0,0.1,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10000.0, 'classifier__gamma': 0.1}",0.0937,76,0.9976,0.6113,12,0.9995,-0.3341,76,-0.0004
76,"SVC(C=10.0, gamma=0.01)",10000.0,1.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10000.0, 'classifier__gamma': 1.0}",0.1085,10,0.9976,0.5989,18,0.9995,-0.3172,10,-0.0004
77,"SVC(C=10.0, gamma=0.01)",10000.0,10.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10000.0, 'classifier__gamma': 10.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
78,"SVC(C=10.0, gamma=0.01)",10000.0,100.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10000.0, 'classifier__gamma': 100.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
79,"SVC(C=10.0, gamma=0.01)",10000.0,1000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10000.0, 'classifier__gamma': 1000.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004
80,"SVC(C=10.0, gamma=0.01)",10000.0,10000.0,"{'classifier': SVC(C=10.0, gamma=0.01), 'classifier__C': 10000.0, 'classifier__gamma': 10000.0}",0.1037,16,0.9976,0.5971,22,0.9995,-0.3196,16,-0.0004

,param_classifier,param_classifier__C,param_classifier__gamma,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss
